danceability,playlist_genre,valence,track_artist,track_popularity,track_album_name,track_id,track_name,track_album_release_date,instrumentalness,acousticness
0.776,latin,0.838,FloyyMenor,81,PELIGROSA,5PCGEfALcpGtURIuTqvX0R,PELIGROSA,2024-07-12,1.31e-05,0.319
0.658,latin,0.465,Chino Pacas,79,Que Sigan Llegando Las Pacas (Extended),0NsGFMIo2aNbAkJu48ndaf,Morena Canela,2024-10-18,2.18e-05,0.105
0.56,latin,0.388,"Omar Courtz, De La Rose",89,PRIMERA MUSA,0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,2024-09-20,0.0,0.103
0.707,latin,0.701,Quevedo,76,DURO,1kyLInQ2qgYbK4wZxllfV2,DURO,2024-10-31,2e-06,0.223
0.716,latin,0.359,Junior H,84,$AD BOYZ 4 LIFE II,4ZOkfHC38nxSeSqzGE5HFr,PIÉNSALO,2023-10-05,0.0,0.452
0.694,latin,0.672,"Jasiel Nuñez, Peso Pluma",75,LA ODISEA,0lQogzZgV4XwuUTasz3nPL,EN MI MUNDO,2024-11-07,0.0,0.396
0.841,latin,0.67,Shakira,86,Soltera,3OJDtCdYs8QJnui708tEU3,Soltera,2024-09-25,0.00046,0.167
0.744,latin,0.712,"Myke Towers, benny blanco",79,DEGENERE 👑 (feat. benny blanco),4xISUrw0t2elabEhKrtAJ0,DEGENERE 👑 (feat. benny blanco),2024-10-16,0.0,0.0501
0.786,latin,0.691,"Maisak, Feid",84,SE ME OLVIDA,2gmd7lY3QSzLh0xIY4cRvi,SE ME OLVIDA,2024-08-23,0.0,0.0399
0.742,latin,0.716,Grupo Frontera,82,Hecha Pa' Mí,1uGUbgZuO1kD1JZ0UeFupN,Hecha Pa' Mí,2024-10-03,0.0,0.0857
0.773,latin,0.25,"Myke Towers, Peso Pluma",72,LA PANTERA NEGRA,1iIrqtbY2aogEHhQkmrV7w,SE TE NOTA (feat. Peso Pluma),2024-08-22,4.24e-05,0.0565
0.724,latin,0.936,Tito Double P,89,INCÓMODO,6X6m4xmdFcz31p1h7Qg68c,EL LOKERON,2024-08-22,6.77e-06,0.573
0.748,latin,0.618,"Carin Leon, Gabito Ballesteros",75,Ese Vato No Te Queda,4Ndjd6DhKIC5IPoBIrMQuX,Ese Vato No Te Queda,2024-10-24,0.000109,0.0292
0.691,latin,0.713,"Fuerza Regida, Luis R Conriquez",75,Cholo 7,06ONHS2cu9I7fvzTz3NQvq,Cholo 7,2024-10-31,5.09e-05,0.2
0.373,latin,0.301,HUMBE,80,KINTSUGI,1qbql17v0Hazo94o5RUyWQ,KINTSUGI,2024-09-26,0.0135,0.86
0.705,latin,0.454,Kapo,86,UWAIE,5QjmUqgpPQgXgg4606DqZF,UWAIE,2024-08-15,0.0,0.138
